GENE_NAME	BLAST_ID	CONTIG	START	STOP	FRAMESHIFTS_BLAST	INFRAME_STOPS_BLAST	FRAMESHIFTS_MINIPROT	INFRAME_STOPS_MINIPROT	EXON	CONTIG_TYPE	GENE_TYPE	ANNOTATION	HAP	SPECIES
AA_SRR23446543_hap1.p_ctg_h1tg000555l_258701-258978:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_260023-260289:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_258701-258978:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	258701	258978	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_258701-258978:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_260023-260289:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_260023-260289:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	260023	260289	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_277129-277406:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_278486-278752:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_277129-277406:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	277129	277406	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_277129-277406:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_278486-278752:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_278486-278752:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	278486	278752	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap2.p_ctg_h2tg000162l_1573-1849:-_AA_SRR23446543_hap2.p_ctg_h2tg000162l_2104-2363:-	AA_SRR23446543_hap2.p_ctg_h2tg000162l_1573-1849:-	AA_SRR23446543_hap2.p_ctg_h2tg000162l	1573	1849	2	1	NA	NA	EXON3	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000162l_1573-1849:-_AA_SRR23446543_hap2.p_ctg_h2tg000162l_2104-2363:-	AA_SRR23446543_hap2.p_ctg_h2tg000162l_2104-2363:-	AA_SRR23446543_hap2.p_ctg_h2tg000162l	2104	2363	0	0	NA	NA	EXON2	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000162l_233995-234271:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l_233995-234271:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l	233995	234271	2	1	NA	NA	EXON3	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000162l_272863-273129:._AA_SRR23446543_hap2.p_ctg_h2tg000162l_274273-274550:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l_272863-273129:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l	272863	273129	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000162l_272863-273129:._AA_SRR23446543_hap2.p_ctg_h2tg000162l_274273-274550:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l_274273-274550:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l	274273	274550	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000162l_280832-281072:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l_280832-281072:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l	280832	281072	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000162l_386463-386739:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l_386463-386739:.	AA_SRR23446543_hap2.p_ctg_h2tg000162l	386463	386739	2	1	NA	NA	EXON3	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000866l_83039-83305:._AA_SRR23446543_hap2.p_ctg_h2tg000866l_84269-84546:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l_83039-83305:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l	83039	83305	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000866l_83039-83305:._AA_SRR23446543_hap2.p_ctg_h2tg000866l_84269-84546:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l_84269-84546:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l	84269	84546	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000866l_95283-95549:._AA_SRR23446543_hap2.p_ctg_h2tg000866l_96522-96799:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l_95283-95549:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l	95283	95549	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000866l_95283-95549:._AA_SRR23446543_hap2.p_ctg_h2tg000866l_96522-96799:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l_96522-96799:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l	96522	96799	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000866l_116911-117177:._AA_SRR23446543_hap2.p_ctg_h2tg000866l_118473-118750:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l_116911-117177:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l	116911	117177	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000866l_116911-117177:._AA_SRR23446543_hap2.p_ctg_h2tg000866l_118473-118750:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l_118473-118750:.	AA_SRR23446543_hap2.p_ctg_h2tg000866l	118473	118750	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000866l_172216-172493:-_AA_SRR23446543_hap2.p_ctg_h2tg000866l_174241-174507:-	AA_SRR23446543_hap2.p_ctg_h2tg000866l_172216-172493:-	AA_SRR23446543_hap2.p_ctg_h2tg000866l	172216	172493	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AA_SRR23446543_hap2.p_ctg_h2tg000866l_172216-172493:-_AA_SRR23446543_hap2.p_ctg_h2tg000866l_174241-174507:-	AA_SRR23446543_hap2.p_ctg_h2tg000866l_174241-174507:-	AA_SRR23446543_hap2.p_ctg_h2tg000866l	174241	174507	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap2	AA
AC_1603_72852_hap1_h1tg000172l_43405-43665:._AC_1603_72852_hap1_h1tg000172l_43920-44196:.	AC_1603_72852_hap1_h1tg000172l_43405-43665:.	AC_1603_72852#1#h1tg000172l	43405	43665	0	0	NA	NA	EXON2	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000172l_43405-43665:._AC_1603_72852_hap1_h1tg000172l_43920-44196:.	AC_1603_72852_hap1_h1tg000172l_43920-44196:.	AC_1603_72852#1#h1tg000172l	43920	44196	2	0	NA	NA	EXON3	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000172l_473033-473309:.	AC_1603_72852_hap1_h1tg000172l_473033-473309:.	AC_1603_72852#1#h1tg000172l	473033	473309	2	1	NA	NA	EXON3	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000172l_513380-513646:._AC_1603_72852_hap1_h1tg000172l_514789-515066:.	AC_1603_72852_hap1_h1tg000172l_513380-513646:.	AC_1603_72852#1#h1tg000172l	513380	513646	0	0	0	0	EXON2	Not_core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000172l_513380-513646:._AC_1603_72852_hap1_h1tg000172l_514789-515066:.	AC_1603_72852_hap1_h1tg000172l_514789-515066:.	AC_1603_72852#1#h1tg000172l	514789	515066	0	0	0	0	EXON3	Not_core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000172l_521338-521577:.	AC_1603_72852_hap1_h1tg000172l_521338-521577:.	AC_1603_72852#1#h1tg000172l	521338	521577	0	0	NA	NA	EXON2	Not_core	Potential_coding_gene	NO_MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000172l_626743-627019:.	AC_1603_72852_hap1_h1tg000172l_626743-627019:.	AC_1603_72852#1#h1tg000172l	626743	627019	2	1	NA	NA	EXON3	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_60409-60675:._AC_1603_72852_hap1_h1tg000410l_61934-62211:.	AC_1603_72852_hap1_h1tg000410l_60409-60675:.	AC_1603_72852#1#h1tg000410l	60409	60675	0	0	0	0	EXON2	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_60409-60675:._AC_1603_72852_hap1_h1tg000410l_61934-62211:.	AC_1603_72852_hap1_h1tg000410l_61934-62211:.	AC_1603_72852#1#h1tg000410l	61934	62211	0	0	0	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_88578-88855:-_AC_1603_72852_hap1_h1tg000410l_89959-90225:-	AC_1603_72852_hap1_h1tg000410l_88578-88855:-	AC_1603_72852#1#h1tg000410l	88578	88855	0	0	1	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_88578-88855:-_AC_1603_72852_hap1_h1tg000410l_89959-90225:-	AC_1603_72852_hap1_h1tg000410l_89959-90225:-	AC_1603_72852#1#h1tg000410l	89959	90225	0	0	1	0	EXON2	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_117076-117353:-_AC_1603_72852_hap1_h1tg000410l_118349-118615:-	AC_1603_72852_hap1_h1tg000410l_117076-117353:-	AC_1603_72852#1#h1tg000410l	117076	117353	0	0	0	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_117076-117353:-_AC_1603_72852_hap1_h1tg000410l_118349-118615:-	AC_1603_72852_hap1_h1tg000410l_118349-118615:-	AC_1603_72852#1#h1tg000410l	118349	118615	0	0	0	0	EXON2	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_145341-145618:-_AC_1603_72852_hap1_h1tg000410l_146562-146828:-	AC_1603_72852_hap1_h1tg000410l_145341-145618:-	AC_1603_72852#1#h1tg000410l	145341	145618	0	0	1	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_145341-145618:-_AC_1603_72852_hap1_h1tg000410l_146562-146828:-	AC_1603_72852_hap1_h1tg000410l_146562-146828:-	AC_1603_72852#1#h1tg000410l	146562	146828	0	0	1	0	EXON2	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_178066-178343:-_AC_1603_72852_hap1_h1tg000410l_179816-180082:-	AC_1603_72852_hap1_h1tg000410l_178066-178343:-	AC_1603_72852#1#h1tg000410l	178066	178343	0	0	1	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap1_h1tg000410l_178066-178343:-_AC_1603_72852_hap1_h1tg000410l_179816-180082:-	AC_1603_72852_hap1_h1tg000410l_179816-180082:-	AC_1603_72852#1#h1tg000410l	179816	180082	0	0	1	0	EXON2	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#1	AC
AC_1603_72852_hap2_h2tg000031l_498556-498832:-	AC_1603_72852_hap2_h2tg000031l_498556-498832:-	AC_1603_72852#2#h2tg000031l	498556	498832	2	1	0	0	EXON3	Not_core	Potential_pseudogene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000031l_604610-604849:-	AC_1603_72852_hap2_h2tg000031l_604610-604849:-	AC_1603_72852#2#h2tg000031l	604610	604849	0	0	0	0	EXON2	Not_core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000031l_611121-611398:-_AC_1603_72852_hap2_h2tg000031l_612542-612808:-	AC_1603_72852_hap2_h2tg000031l_611121-611398:-	AC_1603_72852#2#h2tg000031l	611121	611398	0	0	0	0	EXON3	Not_core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000031l_611121-611398:-_AC_1603_72852_hap2_h2tg000031l_612542-612808:-	AC_1603_72852_hap2_h2tg000031l_612542-612808:-	AC_1603_72852#2#h2tg000031l	612542	612808	0	0	0	0	EXON2	Not_core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000031l_652877-653153:-	AC_1603_72852_hap2_h2tg000031l_652877-653153:-	AC_1603_72852#2#h2tg000031l	652877	653153	2	1	NA	NA	EXON3	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000031l_1069163-1069439:-_AC_1603_72852_hap2_h2tg000031l_1069694-1069954:-	AC_1603_72852_hap2_h2tg000031l_1069163-1069439:-	AC_1603_72852#2#h2tg000031l	1069163	1069439	2	0	NA	NA	EXON3	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000031l_1069163-1069439:-_AC_1603_72852_hap2_h2tg000031l_1069694-1069954:-	AC_1603_72852_hap2_h2tg000031l_1069694-1069954:-	AC_1603_72852#2#h2tg000031l	1069694	1069954	0	0	NA	NA	EXON2	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000031l_1069694-1069954:-_AC_1603_72852_hap2_h2tg000186l_43405-43665:.	AC_1603_72852_hap2_h2tg000186l_43405-43665:.	AC_1603_72852#2#h2tg000186l	43405	43665	0	0	NA	NA	EXON2	Not_core	Potential_coding_gene	NO_MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000186l_43405-43665:._AC_1603_72852_hap2_h2tg000186l_43920-44196:.	AC_1603_72852_hap2_h2tg000186l_43920-44196:.	AC_1603_72852#2#h2tg000186l	43920	44196	2	0	NA	NA	EXON3	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000186l_473033-473309:.	AC_1603_72852_hap2_h2tg000186l_473033-473309:.	AC_1603_72852#2#h2tg000186l	473033	473309	2	1	NA	NA	EXON3	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000186l_513380-513646:._AC_1603_72852_hap2_h2tg000186l_514789-515066:.	AC_1603_72852_hap2_h2tg000186l_513380-513646:.	AC_1603_72852#2#h2tg000186l	513380	513646	0	0	0	0	EXON2	Not_core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000186l_513380-513646:._AC_1603_72852_hap2_h2tg000186l_514789-515066:.	AC_1603_72852_hap2_h2tg000186l_514789-515066:.	AC_1603_72852#2#h2tg000186l	514789	515066	0	0	0	0	EXON3	Not_core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000186l_521338-521577:.	AC_1603_72852_hap2_h2tg000186l_521338-521577:.	AC_1603_72852#2#h2tg000186l	521338	521577	0	0	NA	NA	EXON2	Not_core	Potential_coding_gene	NO_MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000186l_626743-627019:.	AC_1603_72852_hap2_h2tg000186l_626743-627019:.	AC_1603_72852#2#h2tg000186l	626743	627019	2	1	NA	NA	EXON3	Not_core	Potential_pseudogene	NO_MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000510l_18484-18750:._AC_1603_72852_hap2_h2tg000510l_20164-20441:.	AC_1603_72852_hap2_h2tg000510l_18484-18750:.	AC_1603_72852#2#h2tg000510l	18484	18750	0	0	0	0	EXON2	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000510l_18484-18750:._AC_1603_72852_hap2_h2tg000510l_20164-20441:.	AC_1603_72852_hap2_h2tg000510l_20164-20441:.	AC_1603_72852#2#h2tg000510l	20164	20441	0	0	0	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000510l_109008-109274:._AC_1603_72852_hap2_h2tg000510l_110618-110895:.	AC_1603_72852_hap2_h2tg000510l_109008-109274:.	AC_1603_72852#2#h2tg000510l	109008	109274	0	0	0	0	EXON2	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000510l_109008-109274:._AC_1603_72852_hap2_h2tg000510l_110618-110895:.	AC_1603_72852_hap2_h2tg000510l_110618-110895:.	AC_1603_72852#2#h2tg000510l	110618	110895	0	0	0	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000510l_152945-153222:-_AC_1603_72852_hap2_h2tg000510l_154218-154484:-	AC_1603_72852_hap2_h2tg000510l_152945-153222:-	AC_1603_72852#2#h2tg000510l	152945	153222	0	0	1	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000510l_152945-153222:-_AC_1603_72852_hap2_h2tg000510l_154218-154484:-	AC_1603_72852_hap2_h2tg000510l_154218-154484:-	AC_1603_72852#2#h2tg000510l	154218	154484	0	0	1	0	EXON2	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000510l_159988-160265:-_AC_1603_72852_hap2_h2tg000510l_161281-161547:-	AC_1603_72852_hap2_h2tg000510l_159988-160265:-	AC_1603_72852#2#h2tg000510l	159988	160265	0	0	1	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000510l_159988-160265:-_AC_1603_72852_hap2_h2tg000510l_161281-161547:-	AC_1603_72852_hap2_h2tg000510l_161281-161547:-	AC_1603_72852#2#h2tg000510l	161281	161547	0	0	1	0	EXON2	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
AC_1603_72852_hap2_h2tg000510l_167465-167742:-_AC_1603_72852_hap2_h2tg000510l_169100-169366:-	AC_1603_72852_hap2_h2tg000510l_167465-167742:-	AC_1603_72852#2#h2tg000510l	167465	167742	0	0	0	0	EXON3	Core	Potential_coding_gene	MINIPROT_ANNOTATION	AC_1603_72852#2	AC
